SCALED BULK SIGN ROW UNIT82 TERMINAL ORDER30 SLICE
python 3.12.6
python_flint 0.9.0
arb_bits 220
git_head 5af9e9c8b4f6b62b967552ffa01920fddf9194fc
unit slice3
config CWIN 3/2 beta_order 30 t_order 35 min_dt 1/100000 prec 220
beta_domain 1103/16 69
t_domain 3/5 717566321/230000000
dependency scripts/run_surface_g2_unit82_terminal_slice.py sha256 0bb37f799e1547ee1ef5964e67aea0bf2ad62546f031f7e5a02341c5c4a40cbe
dependency scripts/run_surface_scaled_bulk_cwin3p2_unit82_rescue_order30_slice.py sha256 823936a50539062514b4f5901add0f05d0bc3b3e35c4a1ec6c19fadab19c57b9
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
trow 36 932846321/588800000 47221882371/29440000000 upper [-5.0920384084337613691969830659084894711150682433712320201528722681382101281594633e-26 +/- 3.58e-108]
trow 37 47221882371/29440000000 11950362173/7360000000 upper [-1.7653359691356536097996905344247657643006616502205715403691213628347674701427446e-26 +/- 1.02e-106]
trow 38 11950362173/7360000000 48381015013/29440000000 upper [-6.0324206864397566699358589967821617111561753356794478396313422132868272309975326e-27 +/- 1.67e-107]
trow 39 48381015013/29440000000 24480290667/14720000000 upper [-2.0315894845940324768388814104867272357220277824944277363315716913565098823156265e-27 +/- 2.50e-108]
trow 40 24480290667/14720000000 9908029531/5888000000 upper [-6.7421450522511494600969763758309156061338055010812762261881177120238199932649395e-28 +/- 1.76e-108]
trow 41 9908029531/5888000000 6264964247/3680000000 upper [-2.2044964235894671003386274903670065065993407573251979068836101081593319368472206e-28 +/- 3.87e-109]
trow 42 6264964247/3680000000 50699280297/29440000000 upper [-7.1003998523215819524422599029180884960979313693547143636754169137511360761002011e-29 +/- 7.02e-110]
trow 43 50699280297/29440000000 25639423309/14720000000 upper [-2.2522703151564456333321376128311095560533314180599990356184417230004945728284912e-29 +/- 4.97e-109]
trow 44 25639423309/14720000000 51858412939/29440000000 upper [-7.0339425356294199742894681617475183971920178320398661826796798019631847004993799e-30 +/- 1.17e-110]
trow 45 51858412939/29440000000 2621898963/1472000000 upper [-2.1621001069678328029951981170678629607892415811020578251853897654482855339681516e-30 +/- 4.94e-110]
trow 46 2621898963/1472000000 53017545581/29440000000 upper [-6.5384265615338982654568703837852464601851383780320655294175316060219986219650875e-31 +/- 4.82e-111]
trow 47 53017545581/29440000000 26798555951/14720000000 upper [-1.9443451039835993635145076809052653099255679041794985577039249647889877405578980e-31 +/- 4.28e-111]
trow 48 26798555951/14720000000 54176678223/29440000000 upper [-5.6821482344558475533768227481598299732428972792487230374355456972233392150014986e-32 +/- 1.07e-112]
trow 49 54176678223/29440000000 855566321/460000000 upper [-1.6306233456186286322270947390623972840018314815289633125219259015367048329027528e-32 +/- 6.75e-113]
trow 50 855566321/460000000 11067162173/5888000000 upper [-4.5905832506448029853246551529972982581525476576285198117466547334145103464550897e-33 +/- 5.80e-114]
trow 51 11067162173/5888000000 27957688593/14720000000 upper [-1.2662163004150032872098412324427910383246277356078246114230701056157412362388599e-33 +/- 3.45e-113]
trow 52 27957688593/14720000000 56494943507/29440000000 upper [-3.4161739731312418560020104713129055812609612681436132459564865779462139569575398e-34 +/- 2.20e-115]
trow 53 56494943507/29440000000 14268627457/7360000000 upper [-8.9942827106069125860883200553618300987999643148316764978758101739926728456593077e-35 +/- 4.87e-115]
trow 54 14268627457/7360000000 2506698963/1280000000 upper [-2.3035553021574020667795252341370127070939720019741196203439350655886766176707898e-35 +/- 3.80e-115]
trow 55 2506698963/1280000000 5823364247/2944000000 upper [-5.7119757897392960480701618304625143100105312526198508504643476035100462417603018e-36 +/- 4.48e-117]
trow 56 5823364247/2944000000 58813208791/29440000000 upper [-1.3613237980297778782294811853801052188864454772006639190265770642529803985087172e-36 +/- 1.63e-117]
trow 57 58813208791/29440000000 7424096889/3680000000 upper [-3.0806039035579245685419500660260374613965342001436913344612858687298571611351761e-37 +/- 1.79e-117]
trow 58 7424096889/3680000000 59972341433/29440000000 upper [-6.4707768928308344351236933778125773882395331916187413156516003923981898261098563e-38 +/- 2.29e-118]
trow 59 59972341433/29440000000 30275953877/14720000000 upper [-1.1998877295399834234340694106901357605469012284881907767351627804850062459076683e-38 +/- 3.77e-118]
trow 60 30275953877/14720000000 2445258963/1177600000 upper [-1.6818727695067424154517718725152053431960462017903518062759931738893084030791684e-39 +/- 2.47e-119]
trow 61 2445258963/1177600000 15427760099/7360000000 upper [-2.6659642259374314527001155107032332325325552502261934079981632148178319718091116e-41 +/- 3.44e-121]
trow 62 15427760099/7360000000 124001647113/58880000000 upper [-6.7300547602867738150577692881674299939944707626881660120047273791094963566138145e-39 +/- 6.39e-120]
trow 63 124001647113/58880000000 62290606717/29440000000 upper [-3.4391725452058535182296972072332382791819474038173502507066268563057562632075647e-39 +/- 2.93e-119]
trow 64 62290606717/29440000000 25032155951/11776000000 upper [-1.7522656079324225614725170882969222721126888398525313060857167899044615342654380e-39 +/- 2.56e-119]
trow 65 25032155951/11776000000 31435086519/14720000000 upper [-8.9014034072487552865223119975011224301960430985043139606989399082163911519402992e-40 +/- 2.00e-120]
trow 66 31435086519/14720000000 126319912397/58880000000 upper [-4.5084912411435396359638046200217159247145276685179249244485282702872275885210923e-40 +/- 1.35e-120]
trow 67 126319912397/58880000000 63449739359/29440000000 upper [-2.2767788898833847749235526618168352193606158720923213046005789344403336080767813e-40 +/- 1.35e-120]
trow 68 63449739359/29440000000 127479045039/58880000000 upper [-1.1463810155716022254438656968721903524191562104333475363720492719156671303674272e-40 +/- 6.73e-121]
