SCALED BULK SIGN ROW UNIT82 TERMINAL ORDER30 SLICE
python 3.12.6
python_flint 0.9.0
arb_bits 220
git_head 5af9e9c8b4f6b62b967552ffa01920fddf9194fc
unit slice3
config CWIN 3/2 beta_order 30 t_order 35 min_dt 1/100000 prec 220
beta_domain 1103/16 69
t_domain 3/5 717566321/230000000
dependency scripts/run_surface_g2_unit82_terminal_slice.py sha256 0bb37f799e1547ee1ef5964e67aea0bf2ad62546f031f7e5a02341c5c4a40cbe
dependency scripts/run_surface_scaled_bulk_cwin3p2_unit82_rescue_order30_slice.py sha256 823936a50539062514b4f5901add0f05d0bc3b3e35c4a1ec6c19fadab19c57b9
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
trow 143 170366952793/58880000000 85473259557/29440000000 upper [-1.6062566810066673036954871645270668798023612769379023139537444210373665347387968e-66 +/- 3.56e-146]
trow 144 85473259557/29440000000 34305217087/11776000000 upper [-6.5521776088853355539607547564648617404312661786598542905529754778055523555483063e-67 +/- 1.49e-147]
trow 145 34305217087/11776000000 43026412939/14720000000 upper [-2.6658354863212093344715004155588086345554959499273260377913090031385565412125740e-67 +/- 3.51e-147]
trow 146 43026412939/14720000000 172685218077/58880000000 upper [-1.0818282034995323567967821598871792661855705639648380404861552032891467033141172e-67 +/- 3.38e-147]
trow 147 172685218077/58880000000 86632392199/29440000000 upper [-4.3788821387026503303058129530464344612355716710871330580603422113557636661952666e-68 +/- 6.29e-149]
trow 148 86632392199/29440000000 173844350719/58880000000 upper [-1.7678729681107876718229365502692528568084321278805549561556376656417522616654586e-68 +/- 3.66e-148]
trow 149 173844350719/58880000000 2180298963/736000000 upper [-7.1190468568302032781413200272657331846320179802009426270224912501069032841226806e-69 +/- 1.71e-149]
trow 150 2180298963/736000000 175003483361/58880000000 upper [-2.8594196693271973733269073510232223648027030169917168007688907865326321794104606e-69 +/- 2.07e-149]
trow 151 175003483361/58880000000 87791524841/29440000000 upper [-1.1455659639560014448945260815972690465227728178215765807394134414124519575045135e-69 +/- 2.85e-149]
trow 152 87791524841/29440000000 176162616003/58880000000 upper [-4.5777160013429146914908119316122061895976688722422853925521902864563773525189720e-70 +/- 2.22e-150]
trow 153 176162616003/58880000000 44185545581/14720000000 upper [-1.8245589055655495313797835649261988644692221607925318521042724681402755688834488e-70 +/- 3.86e-150]
trow 154 44185545581/14720000000 35464349729/11776000000 upper [-7.2532903039200796741215914885684513291036714075526181700999642342846616134951833e-71 +/- 1.91e-151]
trow 155 35464349729/11776000000 88950657483/29440000000 upper [-2.8757283148423493475958218173308878885476909576600422891878063226824107595689277e-71 +/- 2.55e-151]
trow 156 88950657483/29440000000 178480881287/58880000000 upper [-1.1368756846235793760237465503986099787181391414612613857053927627977258063020225e-71 +/- 2.86e-151]
trow 157 178480881287/58880000000 22382555951/7360000000 upper [-4.4796041738827593225801615396107119243555105686444420285392065196954309323847164e-72 +/- 4.31e-152]
trow 158 22382555951/7360000000 179640013929/58880000000 upper [-1.7574636066022524725534892933432177062214602917137958253366485332379467427277476e-72 +/- 1.45e-153]
trow 159 179640013929/58880000000 720878321/235520000 upper [-6.8492890583492114729234929242510472939105434335325256763366121078859551782329018e-73 +/- 1.69e-154]
trow 160 720878321/235520000 180799146571/58880000000 upper [-2.6379165898785716839146597120501342416563324318312294565125470694126758781848457e-73 +/- 4.02e-153]
trow 161 180799146571/58880000000 45344678223/14720000000 upper [-9.9240402850436456460789853743409681490601858543663056983152159721222723370038805e-74 +/- 4.64e-154]
trow 162 45344678223/14720000000 7911229531/2560000000 upper [-3.5514902395809177106233488661793678428604592950768137080092915307696398475614679e-74 +/- 2.92e-154]
trow 163 7911229531/2560000000 91268922767/29440000000 upper [-1.1318031338860204867470363680187045357950297451848221895449227642581910330146154e-74 +/- 5.48e-155]
trow 164 91268922767/29440000000 36623482371/11776000000 upper [-2.5807450472613660557533480257998967777179749312547803743344503925993569812556016e-75 +/- 9.68e-156]
trow 165 36623482371/11776000000 366814390031/117760000000 upper [-3.8409200718279387510329504904152525396057779089777874842687454180797408736943007e-75 +/- 1.25e-155]
trow 166 366814390031/117760000000 717566321/230000000 upper [-1.7599836016392508870783153262973576577655027490470374543797583379807889425386653e-75 +/- 4.02e-155]
t_rows 167
SCALED BULK SIGN ROW PASS
SCOPE terminal direct-sign unit82 slice3; no H_tail promotion
