PROVENANCE git_head 8b4a17c0681601d0d433ed769d23ce8daa8269a9
PROVENANCE python 3.12.6
PROVENANCE python_flint 0.9.0
PROVENANCE arb_bits 140
DEPENDENCY scripts/certify_right_edge_beta_taylor_cached_extension.py 54b7f122f62d60c0a7a6f2f875708ea5be9161df1939a1db815910d62a02495b
DEPENDENCY scripts/certify_right_edge_beta_taylor_cached_design.py 205a83c5487cc936a2f91ce6551ca2f44fa78f983beb21b0d572e95b6549c9b4
DEPENDENCY scripts/certify_right_edge_beta_taylor_arb.py d614f97a120b13b8cb02b00f6906fd76780c6c329062cdc71fec499083137cdc
DEPENDENCY scripts/certify_bulk_beta_taylor_arb.py f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
CONFIG unit 20_22p62 beta 20/1 1131/50 step 1/100 splice 1/1000 beta_order 12 d_order 9 CWIN 3/2
beta-box [21.1,21.11]: normalized=1 regular=18
beta-box [21.11,21.12]: normalized=1 regular=18
beta-box [21.12,21.13]: normalized=1 regular=18
beta-box [21.13,21.14]: normalized=1 regular=18
beta-box [21.14,21.15]: normalized=1 regular=18
beta-box [21.15,21.16]: normalized=1 regular=18
beta-box [21.16,21.17]: normalized=1 regular=18
beta-box [21.17,21.18]: normalized=1 regular=18
beta-box [21.18,21.19]: normalized=1 regular=18
beta-box [21.19,21.2]: normalized=1 regular=19
beta-box [21.2,21.21]: normalized=1 regular=19
beta-box [21.21,21.22]: normalized=1 regular=19
beta-box [21.22,21.23]: normalized=1 regular=19
beta-box [21.23,21.24]: normalized=1 regular=19
beta-box [21.24,21.25]: normalized=1 regular=19
beta-box [21.25,21.26]: normalized=1 regular=19
beta-box [21.26,21.27]: normalized=1 regular=19
beta-box [21.27,21.28]: normalized=1 regular=19
beta-box [21.28,21.29]: normalized=1 regular=19
beta-box [21.29,21.3]: normalized=1 regular=19
beta-box [21.3,21.31]: normalized=1 regular=19
beta-box [21.31,21.32]: normalized=1 regular=19
beta-box [21.32,21.33]: normalized=1 regular=19
beta-box [21.33,21.34]: normalized=1 regular=19
beta-box [21.34,21.35]: normalized=1 regular=19
beta-box [21.35,21.36]: normalized=1 regular=19
beta-box [21.36,21.37]: normalized=1 regular=19
beta-box [21.37,21.38]: normalized=1 regular=19
beta-box [21.38,21.39]: normalized=1 regular=19
beta-box [21.39,21.4]: normalized=1 regular=19
beta-box [21.4,21.41]: normalized=1 regular=19
beta-box [21.41,21.42]: normalized=1 regular=19
beta-box [21.42,21.43]: normalized=1 regular=19
beta-box [21.43,21.44]: normalized=1 regular=19
beta-box [21.44,21.45]: normalized=1 regular=19
beta-box [21.45,21.46]: normalized=1 regular=19
beta-box [21.46,21.47]: normalized=1 regular=19
beta-box [21.47,21.48]: normalized=1 regular=19
beta-box [21.48,21.49]: normalized=1 regular=20
beta-box [21.49,21.5]: normalized=1 regular=20
beta-box [21.5,21.51]: normalized=1 regular=20
beta-box [21.51,21.52]: normalized=1 regular=20
beta-box [21.52,21.53]: normalized=1 regular=20
beta-box [21.53,21.54]: normalized=1 regular=20
beta-box [21.54,21.55]: normalized=1 regular=20
beta-box [21.55,21.56]: normalized=1 regular=20
beta-box [21.56,21.57]: normalized=1 regular=20
beta-box [21.57,21.58]: normalized=1 regular=20
beta-box [21.58,21.59]: normalized=1 regular=20
beta-box [21.59,21.6]: normalized=1 regular=20
beta-box [21.6,21.61]: normalized=1 regular=20
beta-box [21.61,21.62]: normalized=1 regular=20
beta-box [21.62,21.63]: normalized=1 regular=20
beta-box [21.63,21.64]: normalized=1 regular=20
beta-box [21.64,21.65]: normalized=1 regular=20
beta-box [21.65,21.66]: normalized=1 regular=20
beta-box [21.66,21.67]: normalized=1 regular=20
beta-box [21.67,21.68]: normalized=1 regular=20
beta-box [21.68,21.69]: normalized=1 regular=20
beta-box [21.69,21.7]: normalized=1 regular=20
beta-box [21.7,21.71]: normalized=1 regular=20
beta-box [21.71,21.72]: normalized=1 regular=20
beta-box [21.72,21.73]: normalized=1 regular=21
beta-box [21.73,21.74]: normalized=1 regular=21
beta-box [21.74,21.75]: normalized=1 regular=21
beta-box [21.75,21.76]: normalized=1 regular=21
beta-box [21.76,21.77]: normalized=1 regular=21
beta-box [21.77,21.78]: normalized=1 regular=21
beta-box [21.78,21.79]: normalized=1 regular=21
beta-box [21.79,21.8]: normalized=1 regular=21
beta-box [21.8,21.81]: normalized=1 regular=21
beta-box [21.81,21.82]: normalized=1 regular=21
beta-box [21.82,21.83]: normalized=1 regular=21
beta-box [21.83,21.84]: normalized=1 regular=21
beta-box [21.84,21.85]: normalized=1 regular=21
beta-box [21.85,21.86]: normalized=1 regular=21
beta-box [21.86,21.87]: normalized=1 regular=21
beta-box [21.87,21.88]: normalized=1 regular=21
beta-box [21.88,21.89]: normalized=1 regular=21
beta-box [21.89,21.9]: normalized=1 regular=21
beta-box [21.9,21.91]: normalized=1 regular=21
beta-box [21.91,21.92]: normalized=1 regular=21
beta-box [21.92,21.93]: normalized=1 regular=21
beta-box [21.93,21.94]: normalized=1 regular=21
beta-box [21.94,21.95]: normalized=1 regular=21
