SIGNED BILINEAR K2 ENDPOINT CANDIDATE
PROVENANCE git_head 089f50530001e6380fd5982927cbad22400b36af
PROVENANCE python 3.12.6
PROVENANCE python_flint 0.9.0
PROVENANCE arb_bits 140
CONFIG delta=[0,1/1000] grid=48 order5_companion=true
DEPENDENCY scripts/certify_surface_remainder_signed_bilinear_endpoint_candidate.py eceaa94627af7f3a47f31c28245c7ccb46e389d6b69c1ba3f35d13bce93e42bc
DEPENDENCY scripts/probe_surface_remainder_signed_bilinear_with_tails.py 1cf394bb41e865fac25363c9ae7e4b0ec1d7d8ca6b37b639a046662c3510dd3c
DEPENDENCY scripts/probe_surface_remainder_signed_bilinear_series.py e7dc4581048a88c1caabaad994a04897abbe6a1b8317f8c432d0f6d8cb4de62e
DEPENDENCY scripts/surface_remainder_delta0_series_design.py 3bf631c2efca03284d2e1a0b6308a9536792f16b8003637114da143adbb9e063
DEPENDENCY scripts/surface_remainder_delta0_derivative_tail.py 63a147ff86d9ae08e596f38629f0e490211a0ba5ac64ccd95823907eab43258b
DEPENDENCY scripts/surface_remainder_companion_error_ordered.py 31f6d35dde85c47baeed2ab985574ab2cf4cb9210a756fc4dbf20532d2bb6cb2
DEPENDENCY scripts/surface_bessel_integral_remainder.py a872dec36e1dbfe89f357afcc89bfec64ae375b31325458f9f2fcfb9926c246e
ROW [17/50,9/25] grid=48 Y3_radius=[79.3029853105545044 +/- 5.48e-18] C5=[70818.2662153014529 +/- 9.33e-15] KD0_lower=[1.02231897294777978 +/- 4.90e-18] margin_lower=[0.89 +/- 3.66e-3]
ROW [9/25,19/50] grid=48 Y3_radius=[79.4029731750488281 +/- 2.50e-17] C5=[70499.4858149207313 +/- 3.15e-14] KD0_lower=[1.02347869159926208 +/- 1.50e-18] margin_lower=[0.89 +/- 4.74e-3]
ROW [19/50,2/5] grid=48 Y3_radius=[79.5056124925613403 +/- 3.21e-17] C5=[70163.7915328041410 +/- 4.66e-14] KD0_lower=[1.02470707215892423 +/- 3.72e-19] margin_lower=[0.89 +/- 5.88e-3]
ROW [2/5,21/50] grid=48 Y3_radius=[79.6109210252761841 +/- 1.80e-17] C5=[69811.4195084223203 +/- 4.86e-14] KD0_lower=[1.02600443321652071 +/- 1.63e-18] margin_lower=[0.90 +/- 5.35e-3]
ROW [21/50,11/25] grid=48 Y3_radius=[79.7189167737960815 +/- 4.30e-17] C5=[69442.6244486367778 +/- 3.45e-14] KD0_lower=[1.02737108411770027 +/- 1.70e-18] margin_lower=[0.90 +/- 4.21e-3]
ROW [11/25,23/50] grid=48 Y3_radius=[79.8296183347702026 +/- 3.68e-17] C5=[69057.6685452509392 +/- 1.31e-14] KD0_lower=[1.02880736467105280 +/- 2.73e-19] margin_lower=[0.90 +/- 3.00e-3]
ROW [23/50,12/25] grid=48 Y3_radius=[79.9430533647537231 +/- 4.46e-17] C5=[68656.8242670033153 +/- 1.88e-14] KD0_lower=[1.03031363411743855 +/- 1.38e-19] margin_lower=[0.90 +/- 1.73e-3]
ROW [12/25,1/2] grid=48 Y3_radius=[80.0592330694198608 +/- 3.99e-17] C5=[68240.3740830008102 +/- 2.31e-14] KD0_lower=[1.03189027126771745 +/- 2.94e-18] margin_lower=[0.90 +/- 2.55e-3]
ROW [1/2,13/25] grid=48 Y3_radius=[80.1781816482543945 +/- 3.13e-17] C5=[67808.6136080363382 +/- 2.53e-14] KD0_lower=[1.03353766150496280 +/- 2.05e-18] margin_lower=[0.90 +/- 4.07e-3]
ROW [13/25,27/50] grid=48 Y3_radius=[80.2999162673950195 +/- 3.13e-17] C5=[67361.8421968319343 +/- 1.06e-14] KD0_lower=[1.03525623158410294 +/- 2.03e-18] margin_lower=[0.90 +/- 5.65e-3]
